account_id,account_type,age_days,customer_segment,risk_prior,location,business_profile,has_business_profile
ACC_000227,individual,1080,retail,0.347,LOC_07,none,0
ACC_000228,individual,2500,retail,0.089,LOC_13,none,0
ACC_000229,individual,2583,retail,0.081,LOC_17,none,0
ACC_000230,individual,1445,retail,0.19,LOC_09,none,0
ACC_000231,individual,324,retail,0.132,LOC_11,none,0
ACC_000232,individual,1203,retail,0.111,LOC_17,none,0
ACC_000233,individual,767,retail,0.058,LOC_16,none,0
ACC_000234,business,1923,small_business,0.229,LOC_18,wholesaler,1
ACC_000235,individual,3036,student,0.162,LOC_18,none,0
ACC_000236,individual,3070,retail,0.132,LOC_18,none,0
ACC_000237,individual,2775,student,0.123,LOC_14,none,0
ACC_000238,individual,1939,student,0.263,LOC_11,none,0
ACC_000239,individual,2026,retail,0.076,LOC_08,none,0
ACC_000240,individual,1801,retail,0.053,LOC_05,none,0
ACC_000241,individual,931,retail,0.219,LOC_11,none,0
ACC_000242,individual,882,retail,0.161,LOC_10,none,0
ACC_000243,individual,1493,retail,0.201,LOC_10,none,0
ACC_000244,individual,3039,retail,0.205,LOC_04,none,0
ACC_000245,individual,443,retail,0.056,LOC_09,none,0
ACC_000246,individual,760,retail,0.164,LOC_19,none,0
ACC_000247,individual,498,retail,0.133,LOC_14,none,0
ACC_000248,individual,713,retail,0.154,LOC_09,none,0
ACC_000249,individual,2123,retail,0.282,LOC_02,none,0
ACC_000250,business,346,small_business,0.111,LOC_05,wholesaler,1
ACC_000251,individual,290,retail,0.138,LOC_05,none,0
ACC_000252,individual,81,retail,0.552,LOC_06,none,0
ACC_000253,individual,1322,student,0.577,LOC_16,none,0
ACC_000254,individual,581,retail,0.063,LOC_11,none,0
ACC_000255,individual,185,retail,0.164,LOC_07,none,0
ACC_000256,individual,2640,retail,0.05,LOC_05,none,0
ACC_000257,business,2555,small_business,0.276,LOC_13,professional_service,1
ACC_000258,individual,794,retail,0.039,LOC_11,none,0
ACC_000259,individual,3270,student,0.16,LOC_09,none,0
ACC_000260,individual,2421,retail,0.172,LOC_05,none,0
ACC_000261,individual,1806,retail,0.26,LOC_09,none,0
ACC_000262,individual,1566,retail,0.06,LOC_16,none,0
ACC_000263,individual,521,retail,0.194,LOC_15,none,0
ACC_000264,individual,1489,retail,0.201,LOC_13,none,0
ACC_000265,individual,1606,retail,0.091,LOC_11,none,0
ACC_000266,business,1150,small_business,0.18,LOC_03,retail_store,1
ACC_000267,individual,295,retail,0.305,LOC_03,none,0
ACC_000268,individual,823,retail,0.108,LOC_09,none,0
ACC_000269,business,1620,small_business,0.259,LOC_11,wholesaler,1
ACC_000270,business,3343,small_business,0.089,LOC_12,online_merchant,1
ACC_000271,business,1181,small_business,0.04,LOC_06,online_merchant,1
ACC_000272,business,2919,corporate,0.173,LOC_01,online_merchant,1
ACC_000273,individual,1907,retail,0.034,LOC_01,none,0
ACC_000274,individual,1577,retail,0.143,LOC_15,none,0
ACC_000275,individual,2597,student,0.122,LOC_10,none,0
ACC_000276,individual,1747,retail,0.15,LOC_19,none,0
ACC_000277,individual,934,retail,0.201,LOC_08,none,0
ACC_000278,individual,3315,retail,0.068,LOC_11,none,0
ACC_000279,individual,3143,retail,0.131,LOC_08,none,0
ACC_000280,individual,1972,retail,0.103,LOC_14,none,0
ACC_000281,individual,2886,retail,0.263,LOC_04,none,0
ACC_000282,individual,2657,retail,0.07,LOC_13,none,0
ACC_000283,individual,406,retail,0.053,LOC_19,none,0
ACC_000284,individual,2029,student,0.154,LOC_13,none,0
ACC_000285,individual,663,retail,0.232,LOC_01,none,0
ACC_000286,business,865,small_business,0.168,LOC_04,online_merchant,1
ACC_000287,individual,268,retail,0.307,LOC_09,none,0
ACC_000288,individual,723,retail,0.177,LOC_19,none,0
ACC_000289,individual,3013,retail,0.065,LOC_05,none,0
ACC_000290,individual,2726,retail,0.07,LOC_19,none,0
ACC_000291,individual,1791,retail,0.182,LOC_08,none,0
ACC_000292,business,983,small_business,0.009,LOC_06,wholesaler,1
ACC_000293,individual,1261,retail,0.052,LOC_17,none,0
ACC_000294,individual,140,retail,0.05,LOC_09,none,0
ACC_000295,individual,1054,student,0.039,LOC_11,none,0
ACC_000296,business,1865,small_business,0.081,LOC_19,professional_service,1
ACC_000297,individual,1869,retail,0.004,LOC_08,none,0
ACC_000298,individual,494,retail,0.114,LOC_12,none,0
ACC_000299,individual,2125,retail,0.218,LOC_19,none,0
ACC_000300,individual,1904,retail,0.313,LOC_16,none,0
ACC_000301,business,1737,small_business,0.132,LOC_04,professional_service,1
ACC_000302,individual,484,retail,0.268,LOC_17,none,0
ACC_000303,individual,2918,retail,0.083,LOC_01,none,0
ACC_000304,individual,3120,retail,0.16,LOC_16,none,0
ACC_000305,individual,759,retail,0.217,LOC_18,none,0
ACC_000306,business,1199,corporate,0.267,LOC_02,retail_store,1
ACC_000307,individual,2910,retail,0.265,LOC_10,none,0
ACC_000308,business,2803,corporate,0.111,LOC_19,professional_service,1
ACC_000309,business,2151,small_business,0.238,LOC_01,retail_store,1
ACC_000310,individual,2300,retail,0.302,LOC_15,none,0
ACC_000311,business,457,small_business,0.27,LOC_01,online_merchant,1
ACC_000312,individual,1058,retail,0.163,LOC_09,none,0
ACC_000313,individual,2649,retail,0.102,LOC_06,none,0
ACC_000314,individual,844,retail,0.052,LOC_11,none,0
ACC_000315,business,985,small_business,0.12,LOC_10,retail_store,1
ACC_000316,business,598,small_business,0.064,LOC_12,wholesaler,1
ACC_000317,individual,1018,retail,0.066,LOC_15,none,0
ACC_000318,individual,621,retail,0.154,LOC_18,none,0
ACC_000319,individual,2836,retail,0.162,LOC_13,none,0
ACC_000320,individual,682,retail,0.515,LOC_11,none,0
ACC_000321,individual,529,retail,0.077,LOC_02,none,0
ACC_000322,individual,1376,retail,0.026,LOC_07,none,0
ACC_000323,individual,1122,retail,0.094,LOC_18,none,0
ACC_000324,individual,1688,retail,0.076,LOC_11,none,0
ACC_000325,business,3284,small_business,0.109,LOC_13,professional_service,1
ACC_000326,individual,2580,retail,0.265,LOC_16,none,0
ACC_000327,individual,3161,retail,0.209,LOC_03,none,0
ACC_000328,individual,3371,student,0.199,LOC_06,none,0
ACC_000329,individual,3283,retail,0.363,LOC_05,none,0
ACC_000330,individual,2608,student,0.345,LOC_05,none,0
ACC_000331,individual,2800,retail,0.182,LOC_11,none,0
ACC_000332,individual,88,retail,0.067,LOC_07,none,0
ACC_000333,individual,2466,retail,0.048,LOC_09,none,0
ACC_000334,individual,3143,retail,0.147,LOC_04,none,0
ACC_000335,individual,3557,student,0.26,LOC_03,none,0
ACC_000336,business,917,small_business,0.261,LOC_08,professional_service,1
ACC_000337,individual,2684,retail,0.038,LOC_13,none,0
ACC_000338,individual,2819,retail,0.115,LOC_01,none,0
ACC_000339,individual,2441,student,0.118,LOC_08,none,0
ACC_000340,individual,3612,retail,0.115,LOC_03,none,0
ACC_000341,individual,2657,retail,0.043,LOC_07,none,0
ACC_000342,business,3148,small_business,0.024,LOC_15,wholesaler,1
ACC_000343,individual,64,retail,0.069,LOC_06,none,0
ACC_000344,individual,2323,retail,0.253,LOC_11,none,0
ACC_000345,individual,1612,retail,0.099,LOC_17,none,0
ACC_000346,individual,2492,retail,0.128,LOC_13,none,0
ACC_000347,business,1860,small_business,0.178,LOC_17,retail_store,1
ACC_000348,business,154,small_business,0.136,LOC_04,wholesaler,1
ACC_000349,individual,75,retail,0.067,LOC_08,none,0
ACC_000350,business,1195,small_business,0.216,LOC_03,online_merchant,1
ACC_000351,individual,3158,retail,0.039,LOC_12,none,0
ACC_000352,individual,522,retail,0.048,LOC_15,none,0
ACC_000353,individual,2341,student,0.011,LOC_10,none,0
ACC_000354,individual,736,retail,0.206,LOC_14,none,0
ACC_000355,individual,2377,retail,0.291,LOC_11,none,0
ACC_000356,individual,756,retail,0.159,LOC_14,none,0
ACC_000357,individual,3354,retail,0.219,LOC_09,none,0
ACC_000358,individual,486,retail,0.097,LOC_19,none,0
ACC_000359,individual,2108,retail,0.04,LOC_09,none,0
ACC_000360,individual,2126,retail,0.19,LOC_19,none,0
ACC_000361,individual,156,retail,0.484,LOC_14,none,0
ACC_000362,individual,310,student,0.056,LOC_15,none,0
ACC_000363,individual,3638,retail,0.123,LOC_01,none,0
ACC_000364,individual,1737,retail,0.097,LOC_08,none,0
ACC_000365,individual,1478,retail,0.087,LOC_15,none,0
ACC_000366,individual,1269,retail,0.071,LOC_09,none,0
ACC_000367,individual,635,retail,0.134,LOC_09,none,0
ACC_000368,individual,2082,retail,0.373,LOC_08,none,0
ACC_000369,individual,1647,retail,0.105,LOC_14,none,0
ACC_000370,individual,2941,retail,0.451,LOC_03,none,0
ACC_000371,individual,1272,retail,0.039,LOC_07,none,0
ACC_000372,individual,504,retail,0.21,LOC_11,none,0
ACC_000373,individual,289,retail,0.083,LOC_18,none,0
ACC_000374,individual,741,retail,0.054,LOC_10,none,0
ACC_000375,business,1496,corporate,0.241,LOC_02,wholesaler,1
ACC_000376,individual,614,retail,0.203,LOC_09,none,0
ACC_000377,business,2361,small_business,0.195,LOC_15,retail_store,1
ACC_000378,individual,301,retail,0.015,LOC_13,none,0
ACC_000379,individual,3641,student,0.187,LOC_14,none,0
ACC_000380,individual,2743,retail,0.085,LOC_18,none,0
ACC_000381,individual,3488,retail,0.311,LOC_11,none,0
ACC_000382,individual,2773,retail,0.095,LOC_19,none,0
ACC_000383,individual,2671,retail,0.07,LOC_04,none,0
ACC_000384,individual,2495,retail,0.178,LOC_14,none,0
ACC_000385,individual,1842,retail,0.078,LOC_08,none,0
ACC_000386,individual,2578,retail,0.082,LOC_15,none,0
ACC_000387,individual,3320,retail,0.033,LOC_13,none,0
ACC_000388,individual,3022,retail,0.198,LOC_09,none,0
ACC_000389,individual,1568,retail,0.36,LOC_03,none,0
ACC_000390,individual,2404,retail,0.227,LOC_07,none,0
ACC_000391,individual,483,retail,0.244,LOC_11,none,0
ACC_000392,individual,1038,retail,0.114,LOC_18,none,0
ACC_000393,individual,447,retail,0.013,LOC_11,none,0
ACC_000394,business,910,small_business,0.206,LOC_12,retail_store,1
ACC_000395,individual,3247,retail,0.117,LOC_07,none,0
ACC_000396,individual,492,student,0.022,LOC_17,none,0
ACC_000397,individual,3619,retail,0.171,LOC_06,none,0
ACC_000398,individual,3603,retail,0.094,LOC_10,none,0
ACC_000399,individual,3230,retail,0.021,LOC_17,none,0
ACC_000400,business,814,small_business,0.163,LOC_08,wholesaler,1
ACC_000401,business,2152,small_business,0.079,LOC_18,online_merchant,1
ACC_000402,individual,2423,student,0.048,LOC_10,none,0
ACC_000403,individual,1945,retail,0.14,LOC_15,none,0
ACC_000404,individual,2855,retail,0.329,LOC_07,none,0
ACC_000405,individual,917,retail,0.265,LOC_12,none,0
ACC_000406,individual,2927,student,0.41,LOC_13,none,0
ACC_000407,business,854,corporate,0.042,LOC_13,online_merchant,1
ACC_000408,individual,2616,retail,0.25,LOC_07,none,0
ACC_000409,individual,63,retail,0.296,LOC_16,none,0
ACC_000410,individual,286,retail,0.417,LOC_10,none,0
ACC_000411,individual,783,student,0.145,LOC_16,none,0
ACC_000412,individual,611,retail,0.077,LOC_05,none,0
ACC_000413,individual,403,retail,0.062,LOC_07,none,0
ACC_000414,individual,839,retail,0.214,LOC_10,none,0
ACC_000415,business,2342,small_business,0.117,LOC_04,online_merchant,1
ACC_000416,business,1488,small_business,0.409,LOC_15,professional_service,1
ACC_000417,individual,743,retail,0.084,LOC_12,none,0
ACC_000418,individual,3358,student,0.132,LOC_15,none,0
ACC_000419,individual,1604,retail,0.052,LOC_02,none,0
ACC_000420,individual,198,retail,0.041,LOC_11,none,0
ACC_000421,business,496,small_business,0.093,LOC_05,professional_service,1
ACC_000422,business,861,corporate,0.192,LOC_17,online_merchant,1
ACC_000423,individual,1556,retail,0.388,LOC_14,none,0
ACC_000424,individual,2019,retail,0.194,LOC_09,none,0
ACC_000425,business,1056,corporate,0.348,LOC_10,retail_store,1
ACC_000426,individual,1524,retail,0.116,LOC_07,none,0
ACC_000427,individual,1748,retail,0.044,LOC_03,none,0
ACC_000428,business,1527,corporate,0.208,LOC_16,retail_store,1
ACC_000429,business,3054,small_business,0.085,LOC_07,wholesaler,1
ACC_000430,individual,867,student,0.334,LOC_11,none,0
ACC_000431,individual,3138,retail,0.205,LOC_04,none,0
ACC_000432,individual,2746,retail,0.069,LOC_15,none,0
ACC_000433,business,224,small_business,0.149,LOC_05,professional_service,1
ACC_000434,individual,2036,retail,0.267,LOC_10,none,0
ACC_000435,individual,3565,retail,0.337,LOC_19,none,0
ACC_000436,individual,1840,retail,0.108,LOC_01,none,0
ACC_000437,individual,2067,retail,0.353,LOC_15,none,0
ACC_000438,individual,1779,student,0.219,LOC_13,none,0
ACC_000439,individual,816,retail,0.206,LOC_02,none,0
ACC_000440,business,1788,corporate,0.118,LOC_18,wholesaler,1
ACC_000441,individual,1108,retail,0.242,LOC_15,none,0
ACC_000442,individual,2720,retail,0.265,LOC_04,none,0
ACC_000443,individual,1644,retail,0.196,LOC_13,none,0
ACC_000444,individual,1223,student,0.217,LOC_01,none,0
ACC_000445,business,473,small_business,0.048,LOC_06,online_merchant,1
ACC_000446,business,785,small_business,0.174,LOC_11,wholesaler,1
ACC_000447,individual,2350,retail,0.074,LOC_01,none,0
ACC_000448,individual,3176,retail,0.356,LOC_05,none,0
ACC_000449,individual,2233,retail,0.054,LOC_01,none,0
ACC_000450,individual,1603,retail,0.349,LOC_02,none,0
ACC_000451,individual,361,retail,0.078,LOC_05,none,0
ACC_000452,business,2299,small_business,0.193,LOC_06,online_merchant,1
ACC_000453,individual,532,retail,0.317,LOC_01,none,0
ACC_000454,individual,1873,retail,0.229,LOC_08,none,0
ACC_000455,individual,964,student,0.209,LOC_16,none,0
ACC_000456,individual,1574,retail,0.161,LOC_16,none,0
ACC_000457,individual,1363,retail,0.257,LOC_10,none,0
ACC_000458,individual,3491,student,0.032,LOC_18,none,0
