device_id,device_type,age_days,risk_indicator
DEV_000075,android,1486,0.033
DEV_000076,android,825,0.004
DEV_000077,android,216,0.011
DEV_000078,ios,1447,0.064
DEV_000079,android,714,0.17
DEV_000080,android,1601,0.05
DEV_000081,ios,433,0.01
DEV_000082,android,1609,0.167
DEV_000083,android,191,0.02
DEV_000084,web,439,0.16
DEV_000085,ios,1763,0.156
DEV_000086,android,588,0.172
DEV_000087,android,930,0.128
DEV_000088,android,786,0.083
DEV_000089,android,865,0.073
DEV_000090,android,337,0.059
DEV_000091,web,1237,0.096
DEV_000092,android,1729,0.131
DEV_000093,web,1528,0.127
DEV_000094,android,72,0.139
DEV_000095,web,372,0.123
DEV_000096,android,1049,0.187
DEV_000097,android,161,0.16
DEV_000098,ios,1794,0.189
DEV_000099,android,1433,0.019
DEV_000100,ios,241,0.114
DEV_000101,android,1021,0.153
DEV_000102,ios,431,0.186
DEV_000103,android,1083,0.018
DEV_000104,ios,1659,0.134
DEV_000105,android,1396,0.153
DEV_000106,android,962,0.032
DEV_000107,android,572,0.088
DEV_000108,android,325,0.187
DEV_000109,ios,999,0.075
DEV_000110,pos,1524,0.024
DEV_000111,web,1712,0.024
DEV_000112,ios,984,0.091
DEV_000113,web,32,0.092
DEV_000114,android,932,0.156
DEV_000115,android,1654,0.176
DEV_000116,android,87,0.2
DEV_000117,ios,200,0.018
DEV_000118,web,450,0.657
DEV_000119,ios,441,0.182
DEV_000120,ios,19,0.621
DEV_000121,ios,19,0.048
DEV_000122,web,1207,0.971
DEV_000123,ios,1443,0.168
DEV_000124,android,213,0.101
DEV_000125,ios,233,0.17
DEV_000126,android,104,0.054
DEV_000127,ios,355,0.122
DEV_000128,android,17,0.177
DEV_000129,ios,85,0.018
DEV_000130,android,1069,0.157
DEV_000131,ios,830,0.029
DEV_000132,web,758,0.14
DEV_000133,ios,1044,0.03
DEV_000134,android,1645,0.024
DEV_000135,android,858,0.061
DEV_000136,android,727,0.082
DEV_000137,android,1145,0.118
DEV_000138,android,544,0.79
DEV_000139,android,758,0.113
DEV_000140,ios,1060,0.063
DEV_000141,ios,1177,0.086
DEV_000142,ios,1731,0.147
DEV_000143,web,927,0.101
DEV_000144,android,450,0.167
DEV_000145,android,572,0.014
DEV_000146,web,148,0.734
DEV_000147,android,512,0.149
DEV_000148,android,1274,0.074
DEV_000149,android,1543,0.024
DEV_000150,android,147,0.154
DEV_000151,android,1791,0.141
DEV_000152,android,607,0.042
DEV_000153,android,29,0.033
DEV_000154,web,1724,0.168
DEV_000155,pos,1005,0.09
DEV_000156,android,1505,0.087
DEV_000157,android,1362,0.036
DEV_000158,web,1141,0.717
DEV_000159,android,426,0.099
DEV_000160,android,1514,0.128
DEV_000161,ios,1520,0.153
DEV_000162,android,1341,0.068
DEV_000163,web,975,0.154
DEV_000164,web,781,0.117
DEV_000165,web,1638,0.1
DEV_000166,android,49,0.183
DEV_000167,ios,723,0.068
DEV_000168,android,1098,0.779
DEV_000169,android,1670,0.001
DEV_000170,android,951,0.196
DEV_000171,ios,1144,0.152
DEV_000172,web,519,0.156
DEV_000173,web,1734,0.146
DEV_000174,android,1731,0.194
DEV_000175,pos,1180,0.147
DEV_000176,ios,18,0.008
DEV_000177,ios,231,0.197
DEV_000178,android,443,0.159
DEV_000179,android,746,0.16
DEV_000180,web,436,0.075
DEV_000181,android,76,0.135
DEV_000182,ios,24,0.148
DEV_000183,web,1559,0.694
DEV_000184,ios,804,0.103
DEV_000185,ios,18,0.761
DEV_000186,web,465,0.171
DEV_000187,android,435,0.06
DEV_000188,ios,215,0.177
DEV_000189,android,501,0.068
DEV_000190,ios,965,0.059
DEV_000191,android,1797,0.115
DEV_000192,pos,1325,0.078
DEV_000193,web,1075,0.027
DEV_000194,android,638,0.607
DEV_000195,android,371,0.069
DEV_000196,android,1732,0.108
DEV_000197,android,1356,0.047
DEV_000198,android,557,0.148
DEV_000199,ios,957,0.06
DEV_000200,android,327,0.175
DEV_000201,android,288,0.158
DEV_000202,ios,1551,0.199
DEV_000203,ios,862,0.181
DEV_000204,ios,316,0.02
DEV_000205,ios,1016,0.103
DEV_000206,android,1689,0.641
DEV_000207,android,1727,0.013
DEV_000208,android,1424,0.01
DEV_000209,android,569,0.012
DEV_000210,ios,1759,0.079
DEV_000211,android,550,0.645
DEV_000212,web,208,0.796
DEV_000213,android,919,0.156
DEV_000214,web,419,0.048
DEV_000215,android,587,0.046
DEV_000216,android,873,0.092
DEV_000217,ios,96,0.009
DEV_000218,android,170,0.038
DEV_000219,android,26,0.124
DEV_000220,android,422,0.17
DEV_000221,android,1066,0.124
DEV_000222,android,1791,0.051
DEV_000223,web,1541,0.121
DEV_000224,pos,1324,0.064
DEV_000225,ios,1465,0.043
DEV_000226,android,1483,0.006
DEV_000227,android,149,0.666
DEV_000228,ios,549,0.063
DEV_000229,web,1332,0.025
DEV_000230,android,117,0.101
DEV_000231,pos,319,0.607
DEV_000232,pos,704,0.179
DEV_000233,web,237,0.124
DEV_000234,android,810,0.718
DEV_000235,ios,1074,0.004
DEV_000236,ios,1526,0.051
DEV_000237,ios,1574,0.079
DEV_000238,ios,1375,0.152
DEV_000239,pos,1024,0.103
DEV_000240,android,651,0.082
DEV_000241,android,941,0.079
DEV_000242,ios,653,0.036
DEV_000243,android,1731,0.183
DEV_000244,android,1585,0.176
DEV_000245,android,1322,0.148
DEV_000246,ios,1710,0.021
DEV_000247,web,1030,0.16
DEV_000248,android,781,0.005
DEV_000249,pos,1341,0.144
DEV_000250,web,1131,0.122
DEV_000251,ios,581,0.12
DEV_000252,web,131,0.075
DEV_000253,android,362,0.033
DEV_000254,ios,52,0.049
DEV_000255,android,1719,0.176
DEV_000256,android,1756,0.104
DEV_000257,android,342,0.009
DEV_000258,android,448,0.099
DEV_000259,android,1178,0.059
DEV_000260,ios,1393,0.197
DEV_000261,pos,1623,0.014
DEV_000262,android,408,0.019
DEV_000263,web,999,0.108
DEV_000264,android,823,0.17
DEV_000265,ios,296,0.059
DEV_000266,android,208,0.154
DEV_000267,android,1370,0.024
DEV_000268,web,698,0.169
DEV_000269,android,483,0.09
DEV_000270,android,250,0.175
DEV_000271,android,1533,0.05
DEV_000272,android,75,0.178
DEV_000273,ios,1692,0.098
DEV_000274,android,1487,0.026
DEV_000275,android,787,0.096
DEV_000276,pos,676,0.042
DEV_000277,android,1002,0.648
DEV_000278,web,1648,0.093
DEV_000279,android,1098,0.037
DEV_000280,pos,1472,0.094
DEV_000281,android,1337,0.068
DEV_000282,android,112,0.125
DEV_000283,ios,1432,0.042
DEV_000284,web,524,0.0
DEV_000285,pos,1153,0.012
DEV_000286,android,786,0.126
DEV_000287,android,282,0.064
DEV_000288,ios,552,0.12
DEV_000289,android,1191,0.069
DEV_000290,android,1775,0.008
DEV_000291,android,1524,0.15
DEV_000292,pos,1354,0.06
DEV_000293,web,1191,0.148
DEV_000294,android,277,0.102
DEV_000295,web,1298,0.129
DEV_000296,android,841,0.025
DEV_000297,android,797,0.131
DEV_000298,ios,1598,0.679
DEV_000299,ios,594,0.049
DEV_000300,ios,1569,0.028
DEV_000301,android,502,0.182
DEV_000302,android,987,0.191
DEV_000303,ios,1265,0.125
DEV_000304,android,939,0.137
DEV_000305,android,725,0.175
DEV_000306,ios,325,0.171
DEV_000307,android,1685,0.098
DEV_000308,ios,1458,0.183
DEV_000309,web,447,0.196
DEV_000310,ios,427,0.096
DEV_000311,android,1375,0.129
DEV_000312,android,836,0.082
DEV_000313,android,1058,0.172
DEV_000314,android,80,0.919
DEV_000315,web,611,0.155
DEV_000316,android,816,0.039
DEV_000317,android,1797,0.124
DEV_000318,web,1142,0.028
DEV_000319,ios,134,0.177
DEV_000320,ios,1282,0.035
DEV_000321,android,1500,0.1
DEV_000322,ios,12,0.2
DEV_000323,android,1785,0.146
DEV_000324,pos,541,0.085
DEV_000325,android,835,0.071
DEV_000326,ios,1631,0.083
DEV_000327,android,1480,0.16
DEV_000328,android,488,0.176
DEV_000329,android,267,0.107
DEV_000330,android,415,0.775
DEV_000331,ios,10,0.861
DEV_000332,web,57,0.172
DEV_000333,web,272,0.164
DEV_000334,android,986,0.051
DEV_000335,ios,1330,0.15
DEV_000336,android,746,0.042
DEV_000337,ios,402,0.017
DEV_000338,android,88,0.08
DEV_000339,pos,1483,0.131
DEV_000340,android,338,0.195
DEV_000341,web,1576,0.044
DEV_000342,ios,460,0.113
DEV_000343,ios,1325,0.142
DEV_000344,android,1676,0.794
DEV_000345,android,1086,0.152
DEV_000346,web,292,0.054
DEV_000347,android,699,0.113
DEV_000348,ios,658,0.685
DEV_000349,web,11,0.034
DEV_000350,web,1495,0.187
DEV_000351,android,862,0.117
DEV_000352,android,58,0.02
DEV_000353,android,393,0.035
DEV_000354,android,332,0.072
DEV_000355,android,583,0.053
DEV_000356,ios,1444,0.186
DEV_000357,android,1600,0.023
DEV_000358,ios,366,0.151
DEV_000359,web,1535,0.199
DEV_000360,android,121,0.19
DEV_000361,ios,589,0.034
DEV_000362,pos,960,0.194
DEV_000363,android,893,0.117
DEV_000364,android,398,0.021
DEV_000365,web,355,0.072
DEV_000366,android,1443,0.185
DEV_000367,web,1143,0.066
DEV_000368,android,696,0.132
DEV_000369,ios,836,0.069
DEV_000370,android,557,0.145
DEV_000371,android,307,0.113
DEV_000372,ios,951,0.186
DEV_000373,ios,1489,0.011
DEV_000374,web,196,0.116
DEV_000375,android,1663,0.872
DEV_000376,ios,610,0.941
DEV_000377,android,1340,0.001
DEV_000378,ios,1586,0.075
DEV_000379,ios,1582,0.032
DEV_000380,ios,394,0.193
DEV_000381,pos,970,0.038
DEV_000382,ios,1047,0.02
DEV_000383,web,680,0.113
DEV_000384,pos,1639,0.074
DEV_000385,android,770,0.159
DEV_000386,web,1273,0.175
DEV_000387,android,553,0.093
DEV_000388,ios,1131,0.075
DEV_000389,ios,1206,0.785
DEV_000390,android,810,0.038
DEV_000391,android,259,0.189
DEV_000392,android,752,0.016
DEV_000393,ios,1754,0.127
DEV_000394,android,662,0.107
DEV_000395,pos,74,0.008
DEV_000396,ios,944,0.009
DEV_000397,web,1626,0.024
DEV_000398,android,1687,0.107
DEV_000399,web,288,0.079
