ip_id,region,network_type,risk_indicator
IP_000216,REG_01,vpn,0.739
IP_000217,REG_06,residential,0.115
IP_000218,REG_02,mobile,0.115
IP_000219,REG_05,mobile,0.139
IP_000220,REG_05,residential,0.014
IP_000221,REG_09,mobile,0.847
IP_000222,REG_06,mobile,0.015
IP_000223,REG_10,residential,0.006
IP_000224,REG_11,residential,0.064
IP_000225,REG_05,mobile,0.134
IP_000226,REG_09,residential,0.063
IP_000227,REG_06,residential,0.023
IP_000228,REG_07,residential,0.124
IP_000229,REG_05,residential,0.118
IP_000230,REG_07,vpn,0.564
IP_000231,REG_10,mobile,0.123
IP_000232,REG_02,mobile,0.017
IP_000233,REG_11,mobile,0.009
IP_000234,REG_01,mobile,0.077
IP_000235,REG_01,residential,0.018
IP_000236,REG_03,vpn,0.584
IP_000237,REG_10,residential,0.108
IP_000238,REG_08,residential,0.15
IP_000239,REG_02,mobile,0.072
IP_000240,REG_11,vpn,0.551
IP_000241,REG_01,vpn,0.926
IP_000242,REG_08,residential,0.062
IP_000243,REG_05,residential,0.038
IP_000244,REG_07,mobile,0.098
IP_000245,REG_01,residential,0.014
IP_000246,REG_10,vpn,0.894
IP_000247,REG_09,residential,0.055
IP_000248,REG_10,mobile,0.055
IP_000249,REG_01,residential,0.03
IP_000250,REG_04,residential,0.052
IP_000251,REG_05,mobile,0.057
IP_000252,REG_04,mobile,0.136
IP_000253,REG_06,mobile,0.064
IP_000254,REG_09,mobile,0.014
IP_000255,REG_06,mobile,0.113
IP_000256,REG_10,mobile,0.094
IP_000257,REG_10,mobile,0.126
IP_000258,REG_02,mobile,0.597
IP_000259,REG_07,mobile,0.063
IP_000260,REG_08,residential,0.031
IP_000261,REG_08,residential,0.115
IP_000262,REG_03,residential,0.106
IP_000263,REG_11,mobile,0.045
IP_000264,REG_07,residential,0.001
IP_000265,REG_01,mobile,0.113
IP_000266,REG_10,mobile,0.049
IP_000267,REG_05,mobile,0.09
IP_000268,REG_10,mobile,0.058
IP_000269,REG_01,residential,0.043
IP_000270,REG_10,residential,0.138
IP_000271,REG_06,residential,0.06
IP_000272,REG_05,residential,0.031
IP_000273,REG_11,residential,0.075
IP_000274,REG_04,mobile,0.021
IP_000275,REG_10,residential,0.13
IP_000276,REG_08,residential,0.026
IP_000277,REG_01,residential,0.043
IP_000278,REG_11,mobile,0.125
IP_000279,REG_10,residential,0.525
IP_000280,REG_06,mobile,0.064
IP_000281,REG_07,mobile,0.075
IP_000282,REG_05,hosting,0.874
IP_000283,REG_02,residential,0.133
IP_000284,REG_09,mobile,0.063
IP_000285,REG_03,residential,0.069
IP_000286,REG_09,residential,0.055
IP_000287,REG_03,residential,0.09
IP_000288,REG_11,residential,0.036
IP_000289,REG_10,residential,0.521
IP_000290,REG_03,mobile,0.112
IP_000291,REG_01,residential,0.113
IP_000292,REG_04,residential,0.946
IP_000293,REG_07,residential,0.019
IP_000294,REG_03,mobile,0.113
IP_000295,REG_09,mobile,0.037
IP_000296,REG_10,mobile,0.14
IP_000297,REG_04,mobile,0.063
IP_000298,REG_04,mobile,0.036
IP_000299,REG_02,mobile,0.14
